date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:01:10	35/35	---M--	200	added ('OK')	text/plain	etag:%22a1000e8-23-576c0d1403e00%22	https://ittisa.com/robots.txt		(from )
01:01:11	126405/126405	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202019%2019:30:58%20GMT	https://digitalcorsel.com/	E:/Bluelight%20media/digital%20website/digitalcorsel.com/index.html	(from )
01:01:18	64808/64808	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Aug%202019%2019:30:58%20GMT	https://ittisa.com/	E:/Bluelight%20media/digital%20website/ittisa.com/index.html	(from )
01:01:18	6444/6444	---M--	200	added ('OK')	image/png	etag:%22a1232e5-192c-553a76513e600%22	https://ittisa.com/wp-content/uploads/2017/07/icon-17.png	E:/Bluelight%20media/digital%20website/ittisa.com/wp-content/uploads/2017/07/icon-17.png	(from https://ittisa.com/)
01:01:19	3575/3575	---M--	200	added ('OK')	text/css	etag:%22a160f45-df7-578f765983607%22	https://ittisa.com/wp-content/mmr/a0001192-1517936086.min.css	E:/Bluelight%20media/digital%20website/ittisa.com/wp-content/mmr/a0001192-1517936086.min.css	(from https://ittisa.com/)
01:01:20	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	E:/Bluelight%20media/digital%20website/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://ittisa.com/)
01:01:20	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4939-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	E:/Bluelight%20media/digital%20website/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://ittisa.com/)
01:01:23	25983/25983	---MCZ	200	added ('OK')	text/css	etag:W/%22fbb26825036ac2b4a1fc10fd91dab425da27da08%22	https://cdn.rawgit.com/michalsnik/aos/2.0.4/dist/aos.css	E:/Bluelight%20media/digital%20website/cdn.rawgit.com/michalsnik/aos/2.0.4/dist/aos.css	(from https://ittisa.com/)
01:01:26	102772/102772	---M--	200	added ('OK')	text/css	etag:%22a160f46-19174-578f765997e27%22	https://ittisa.com/wp-content/mmr/f1421823-1500543174.min.css	E:/Bluelight%20media/digital%20website/ittisa.com/wp-content/mmr/f1421823-1500543174.min.css	(from https://ittisa.com/)
01:01:28	116423/116423	---M--	200	added ('OK')	text/css	etag:%22a162710-1c6c7-58e011bcdf22b%22	https://ittisa.com/wp-content/mmr/17452aa0-1563510264.min.css	E:/Bluelight%20media/digital%20website/ittisa.com/wp-content/mmr/17452aa0-1563510264.min.css	(from https://ittisa.com/)
